mean_prediction,std_prediction,entropy,S,mean_prediction_05,std_prediction_05,entropy_five,Age,Credit amount,Duration,Job_0,Job_1,Job_2,Job_3,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
0.747,0.4347309512790641,0.8159984789708665,0,0.4347309512790641,0.0,0.9876729481302322,-1.017625218208695,-0.07937699269215527,-0.2722078165754,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.712,0.45283109433871693,0.8661236813986259,1,0.45283109433871693,0.0,0.9935707230300053,-0.03474817818273565,0.3140110885514943,-0.2722078165754,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
0.658,0.47437959483940706,0.9267197214533209,1,0.47437959483940706,0.0,0.9981051853739844,-0.30280555273527,-0.3653271525877493,0.22928708201164383,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
0.342,0.474379594839407,0.9267197214533212,1,0.474379594839407,0.0,0.9981051853739843,-1.106977676392873,-0.7051615622671373,-0.7737027151624438,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.636,0.481148625686492,0.9459534760689117,1,0.481148625686492,0.0,0.9989743634099038,-0.03474817818273565,1.2637623132683053,0.9815294298922096,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.746,0.4352975993501457,0.8175566363115494,1,0.4352975993501457,0.0,0.9878866604206594,2.5564731091584294,-0.345823037635333,0.22928708201164383,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.322,0.4672429774753174,0.9065431379027393,1,0.4672429774753174,0.0,0.9969016928567376,0.5013665709223329,-0.4344180004700373,-1.2751976137494878,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0.359,0.4797072023641087,0.9418499821369986,1,0.4797072023641087,0.0,0.9988114767728266,-1.3750350509454072,-0.9405332545742621,-0.7737027151624438,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.381,0.4856325771609643,0.9587452303135016,1,0.4856325771609643,0.0,0.9994043075954495,-0.8389203018403386,0.04855677826691395,-1.0244501644559658,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.64,0.48,0.9426831892554921,1,0.48,0.0,0.9988455359952018,-0.7495678436561605,1.7133486918324763,0.48003453130516577,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.51,0.4998999899979995,0.9997114417528099,1,0.4998999899979995,0.0,0.9999999711403267,-0.6602153854719823,-0.9739216547470424,-1.2751976137494878,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.721,0.4485075250204839,0.8540846597591107,1,0.4485075250204839,0.0,0.9923358792161983,-0.12410063636691375,0.17682112744551565,1.7337717777727755,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.943,0.23184261903282585,0.3154190889380809,0,0.23184261903282585,0.0,0.7812095989265326,-0.6602153854719823,-0.6790458829240714,0.22928708201164383,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.557,0.4967403748438413,0.9906049558738163,1,0.4967403748438413,0.0,0.9999693420626367,0.054604280001442455,1.2783077549277344,3.238256473533907,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.229,0.4201892430798294,0.7762640017033954,1,0.4201892430798294,0.0,0.9815419125974703,0.5907190291065111,0.9447543314194634,3.238256473533907,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.627,0.483602109176542,0.9529477519400049,1,0.483602109176542,0.0,0.9992240059448647,0.5907190291065111,0.23896983271762162,-0.2722078165754,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.375,0.4841229182759271,0.9544340029249649,1,0.4841229182759271,0.0,0.9992725236091167,-1.106977676392873,-0.02053406961537408,-0.5229552658689219,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.795,0.40370162248868907,0.731816079376955,0,0.40370162248868907,0.0,0.973074763732863,2.6458255673426074,-0.7709466279541005,-0.2722078165754,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.404,0.4906974628016738,0.9732424074349137,0,0.4906974628016738,0.0,0.9997502920190615,-1.017625218208695,-0.43177337471377747,-0.2722078165754,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.58,0.4935585071701227,0.9814538950336537,0,0.4935585071701227,0.0,0.9998802736882231,-0.7495678436561605,0.07037494075605753,-0.5229552658689219,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.554,0.4970754469896899,0.9915697693063807,1,0.4970754469896899,0.0,0.9999753210881615,-0.03474817818273565,1.7943403556179334,2.235266676359819,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.549,0.49759320734913576,0.9930610464600562,1,0.49759320734913576,0.0,0.9999832858781028,-0.8389203018403386,-0.005327471516880064,-0.0214603672818781,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.628,0.48333839077813795,0.9521953766259575,1,0.48333839077813795,0.0,0.9991988407934023,-0.21345309455109185,0.8726882795613832,-0.2722078165754,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
