mean_prediction,std_prediction,entropy,S,mean_prediction_05,std_prediction_05,entropy_five,Age,Credit amount,Duration,Job_0,Job_1,Job_2,Job_3,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
1.0,0.0,0.0,0,0.0,0.0,0.0,-1.017625218208695,-0.07937699269215527,-0.2722078165754,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.652,0.4763360158543546,0.932269191548067,1,0.4797072023641087,0.0,0.9988114767728266,-0.03474817818273565,0.3140110885514943,-0.2722078165754,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
0.649,0.4772829349557765,0.9349579708037453,1,0.47268488446321194,0.0,0.9978460935077742,-0.30280555273527,-0.3653271525877493,0.22928708201164383,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-1.106977676392873,-0.7051615622671373,-0.7737027151624438,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-0.03474817818273565,1.2637623132683053,0.9815294298922096,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,2.5564731091584294,-0.345823037635333,0.22928708201164383,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,0.5013665709223329,-0.4344180004700373,-1.2751976137494878,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-1.3750350509454072,-0.9405332545742621,-0.7737027151624438,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-0.8389203018403386,0.04855677826691395,-1.0244501644559658,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-0.7495678436561605,1.7133486918324763,0.48003453130516577,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-0.6602153854719823,-0.9739216547470424,-1.2751976137494878,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.0,0.0,0.0,1,0.0,0.0,0.0,-0.12410063636691375,0.17682112744551565,1.7337717777727755,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.0,0.0,0.0,0,0.0,0.0,0.0,-0.6602153854719823,-0.6790458829240714,0.22928708201164383,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.0,0.0,0.0,1,0.0,0.0,0.0,0.054604280001442455,1.2783077549277344,3.238256473533907,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.0,0.0,0.0,1,0.0,0.0,0.0,0.5907190291065111,0.9447543314194634,3.238256473533907,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,0.5907190291065111,0.23896983271762162,-0.2722078165754,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1.0,0.0,0.0,1,0.0,0.0,0.0,-1.106977676392873,-0.02053406961537408,-0.5229552658689219,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,0.0,0.0,0,0.0,0.0,0.0,2.6458255673426074,-0.7709466279541005,-0.2722078165754,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
